message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"Verified bank update, user engages with these, but not urgent.",0.78,message_0243;message_0102;message_0101
msg_091,mute,scam,Requests OTP/PIN/credentials or payment via link/QR in a financial context — scam pattern.,0.90,message_0238;message_0381
msg_090,digest,personal,"Non-urgent, personal inquiry; user engages with similar.",0.78,message_0339
msg_048,mute,scam,Requests OTP/PIN/credentials or payment via link/QR in a financial context — scam pattern.,0.90,message_0151;message_0152;message_0237
msg_040,mute,forward,"Viral chain, user mutes similar, fatigued",0.81,message_0136;message_0135
msg_075,notify,business_update,Verified ride update for user's active booking; user engages with these.,0.85,message_0206;message_0205
msg_005,notify,personal,"User engages with similar messages, item held for them.",0.83,message_0401;message_0390;message_0065;message_0049;message_0332
msg_104,mute,promotion,User consistently dismisses similar messages.,0.92,message_0224;message_0383;message_0050;message_0232;message_0335
msg_069,mute,greeting,"Viral chain, muted group, and user dismisses similar messages.",0.83,message_0042;message_0177;message_0193;message_0080;message_0194
msg_107,mute,scam,Requests OTP/PIN/credentials or payment via link/QR in a financial context — scam pattern.,0.90,none
msg_070,mute,scam,Requests OTP/PIN/credentials or payment via link/QR in a financial context — scam pattern.,0.90,none
msg_003,notify,business_update,"Verified sender, delivery update for active order, user engages with these.",0.89,message_0031;message_0400;message_0061;message_0267;message_0062
msg_099,digest,personal,"Non-urgent, informational message for later review.",0.78,message_0227;message_0249;message_0055;message_0117;message_0118
msg_008,digest,business_update,Post-purchase review request from verified sender; user engages but is fatigued.,0.78,message_0296;message_0072;message_0071
msg_092,digest,business_update,"Verified sender, routine statement update; user engages but not urgent.",0.78,message_0346;message_0344
msg_060,notify,urgent,Time-sensitive internship deadline from a trusted faculty admin.,0.92,message_0404;message_0284;message_0176;message_0375
msg_004,notify,business_update,"Verified healthcare sender, upcoming appointment, user engages with these updates.",0.92,message_0245;message_0005;message_0246;message_0064;message_0063
msg_030,mute,promotion,"User fatigued, muted similar messages, and group is muted.",0.92,message_0115;message_0335;message_0050;message_0116;message_0224
msg_045,notify,urgent,Time-sensitive delivery at user's gate needing confirmation now.,0.89,message_0061
msg_052,mute,scam,Sender uses a forged look-alike domain impersonating the brand — phishing.,0.94,message_0207;message_0208;message_0159
msg_009,digest,personal,"Casual group chat, user engaged with similar; not urgent.",0.78,message_0074;message_0073
msg_071,digest,personal,"Casual group chat, no action needed now.",0.78,message_0197;message_0198
msg_016,mute,scam,Requests OTP/PIN/credentials or payment via link/QR in a financial context — scam pattern.,0.90,message_0024;message_0202;message_0184
msg_065,digest,promotion,Verified retail sender with user's allowed promotions; user engages with these.,0.78,message_0261;message_0260;message_0186;message_0185
msg_038,mute,forward,"Viral chain, user mutes similar messages",0.81,message_0131;message_0132
msg_086,notify,event,"Verified travel business, user's upcoming trip details changed; user engages with these.",0.83,message_0222
msg_014,mute,promotion,User opted out and fatigued with similar messages.,0.92,message_0258;message_0018;message_0017;message_0084;message_0083
msg_094,mute,promotion,"User fatigued, historically dismisses similar offers",0.78,message_0356;message_0048;message_0357;message_0223;message_0203
msg_029,digest,promotion,"User engages with similar marketplace posts, but not strongly.",0.68,message_0401;message_0113;message_0332;message_0066
msg_105,mute,forward,"Viral chain, low-value, and user previously dismissed similar.",0.78,message_0373;message_0233
msg_002,notify,urgent,"Direct @mention for pre-meeting prep, user engages with similar requests",0.89,message_0003;message_0266;message_0059;message_0169;message_0041
msg_010,digest,business_update,Feedback request from a known cinema after a visit; user engages with these.,0.78,message_0011;message_0242;message_0075;message_0076
msg_078,mute,scam,Requests OTP/PIN/credentials or payment via link/QR in a financial context — scam pattern.,0.90,message_0211;message_0212
msg_013,digest,promotion,"Sale offer from a group member, not urgent or directly requested.",0.78,none
msg_018,mute,scam,"Viral chain with voucher claim, resembles reported scams.",0.92,message_0026;message_0091;message_0092
msg_044,mute,scam,Requests OTP/PIN/credentials or payment via link/QR in a financial context — scam pattern.,0.90,message_0143;message_0144
msg_032,digest,personal,"Casual group chat, non-urgent, user engages with similar content.",0.78,message_0119;message_0285;message_0120;message_0374
msg_106,digest,event,"User engages with similar dance updates, but not urgent enough to interrupt.",0.78,message_0376;message_0234
msg_006,notify,event,"Time-sensitive, trusted admin reminder about maintenance payment deadline.",0.89,message_0097;message_0067;message_0029;message_0044;message_0098
msg_109,mute,scam,Requests OTP/PIN/credentials or payment via link/QR in a financial context — scam pattern.,0.90,message_0151;message_0152;message_0237
msg_108,mute,scam,Sender uses a forged look-alike domain impersonating the brand — phishing.,0.94,message_0094;message_0093;message_0236
msg_019,mute,scam,Sender uses a forged look-alike domain impersonating the brand — phishing.,0.94,message_0277;message_0094;message_0093
